category,phone,streetAddress,name,addressState,addressCity,addressZip
Youth Organizations & Centers,(785) 841-6854,1520 Haskell Ave,Boys & Girls Of Lawrence,KS,"Lawrence, ",66044
Youth Organizations & Centers,(785) 842-9382,RR 2,O'Connell Youth Ranch House 3,KS,"Lawrence, ",66046
"Youth Organizations & Centers,Child Care",(785) 842-2515,925 Vermont St,Head Start,KS,"Lawrence, ",66044
Youth Organizations & Centers,(785) 550-8951,2518 Ridge Ct,Nky Inc,KS,"Lawrence, ",66046
Youth Organizations & Centers,(785) 842-5427,2518 Ridge Ct,Girl Scouts,KS,"Lawrence, ",66046
"Reading Instruction,Tutoring",(888) 481-4990,,Sylvan Learning Center,,,
Youth Organizations & Centers,(913) 583-3411,33180 W 83rd St,Desoto Youth Ministries,KS,"De Soto, ",66018
,,,,,,
